year,level_1,level_2,value
2013,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,23
2013,Bedok Police Division - Tampines NPC,Harassment,495
2013,Jurong Police Division - Total,Unlicensed Moneylending,490
2013,Jurong Police Division - Total,Harassment,2029
2013,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,30
2013,Jurong Police Division - Bukit Batok NPC,Harassment,300
2013,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,23
2013,Jurong Police Division - Bukit Panjang NPC,Harassment,231
2013,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,35
2013,Jurong Police Division - Choa Chu Kang NPC,Harassment,334
2013,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,21
2013,Jurong Police Division - Jurong West NPC,Harassment,309
2013,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,327
2013,Jurong Police Division - Nanyang NPC,Harassment,269
2013,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,na
2013,Jurong Police Division - Woodlands NPC,Harassment,na
2013,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,35
2013,Jurong Police Division - Woodlands East NPC,Harassment,361
2013,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,19
2013,Jurong Police Division - Woodlands West NPC,Harassment,225
2013,Woodlands Police Division - Total,Unlicensed Moneylending,-
2013,Woodlands Police Division - Total,Harassment,-
2013,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Woodlands East NPC,Harassment,-
2013,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Woodlands West NPC,Harassment,-
2013,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Yishun North NPC,Harassment,-
2013,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Yishun South NPC,Harassment,-
2013,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Sembawang NPC,Harassment,-
2014,Central Police Division - Total,Unlicensed Moneylending,107
2014,Central Police Division - Total,Harassment,222
2014,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,78
2014,Central Police Division - Bukit Merah East NPC,Harassment,134
2014,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,5
2014,Central Police Division - Marina Bay NPC,Harassment,8
2014,Central Police Division - Rochor NPC,Unlicensed Moneylending,24
2014,Central Police Division - Rochor NPC,Harassment,80
2014,Clementi Police Division - Total,Unlicensed Moneylending,71
2014,Clementi Police Division - Total,Harassment,495
2014,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,11
2014,Clementi Police Division - Bukit Merah West NPC,Harassment,102
2014,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,40
2014,Clementi Police Division - Clementi NPC,Harassment,115
2014,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,11
2014,Clementi Police Division - Jurong East NPC,Harassment,160
2014,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,9
2014,Clementi Police Division - Queenstown NPC,Harassment,118
2014,Tanglin Police Division - Total,Unlicensed Moneylending,47
2014,Tanglin Police Division - Total,Harassment,360
2014,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,4
2014,Tanglin Police Division - Bishan NPC,Harassment,77
2014,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,3
2014,Tanglin Police Division - Bukit Timah NPC,Harassment,29
2014,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,17
2014,Tanglin Police Division - Kampong Java NPC,Harassment,55
2014,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,7
2014,Tanglin Police Division - Orchard NPC,Harassment,8
2014,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,16
2014,Tanglin Police Division - Toa Payoh NPC,Harassment,191
2014,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,117
2014,Ang Mo Kio Police Division - Total,Harassment,1842
2014,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,39
2014,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,230
2014,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,11
2014,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,196
2014,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,13
2014,Ang Mo Kio Police Division - Hougang NPC,Harassment,348
2014,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,6
2014,Ang Mo Kio Police Division - Punggol NPC,Harassment,112
2014,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,6
2014,Ang Mo Kio Police Division - Sembawang NPC,Harassment,66
2014,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,13
2014,Ang Mo Kio Police Division - Sengkang NPC,Harassment,271
2014,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,9
2014,Ang Mo Kio Police Division - Serangoon NPC,Harassment,144
2014,Ang Mo Kio Police Division - Yishun North NPC,Unlicensed Moneylending,15
2014,Ang Mo Kio Police Division - Yishun North NPC,Harassment,323
2014,Ang Mo Kio Police Division - Yishun South NPC,Unlicensed Moneylending,5
