Year,Crime_code,Age_group,Gender,Total_count
2013,18,Youths (7 To 19 Years Old),Male,85
2013,18,Above 21 Years Old,Female,366
2013,18,21 Years Old And Below,Female,77
2013,18,Youths (7 To 19 Years Old),Female,49
2014,15,Above 21 Years Old,Male,18
2014,15,21 Years Old And Below,Male,1
2014,15,Youths (7 To 19 Years Old),Male,0
2014,15,Above 21 Years Old,Female,5
2014,15,21 Years Old And Below,Female,0
2014,15,Youths (7 To 19 Years Old),Female,0
2014,16,Above 21 Years Old,Male,59
2014,16,21 Years Old And Below,Male,45
2014,16,Youths (7 To 19 Years Old),Male,32
2014,16,Above 21 Years Old,Female,0
2014,16,21 Years Old And Below,Female,0
2014,16,Youths (7 To 19 Years Old),Female,0
2014,8,Above 21 Years Old,Male,699
2014,8,21 Years Old And Below,Male,138
2014,8,Youths (7 To 19 Years Old),Male,106
2014,8,Above 21 Years Old,Female,5
2014,8,21 Years Old And Below,Female,1
2014,8,Youths (7 To 19 Years Old),Female,1
2014,7,Above 21 Years Old,Male,127
2014,7,21 Years Old And Below,Male,74
2014,7,Youths (7 To 19 Years Old),Male,60
2014,7,Above 21 Years Old,Female,5
2014,7,21 Years Old And Below,Female,4
2014,7,Youths (7 To 19 Years Old),Female,2
2014,11,Above 21 Years Old,Male,117
2014,11,21 Years Old And Below,Male,55
2014,11,Youths (7 To 19 Years Old),Male,46
2014,11,Above 21 Years Old,Female,5
2014,11,21 Years Old And Below,Female,5
2014,11,Youths (7 To 19 Years Old),Female,4
2014,9,Above 21 Years Old,Male,48
2014,9,21 Years Old And Below,Male,66
2014,9,Youths (7 To 19 Years Old),Male,53
2014,9,Above 21 Years Old,Female,5
2014,9,21 Years Old And Below,Female,2
2014,9,Youths (7 To 19 Years Old),Female,2
2014,10,Above 21 Years Old,Male,38
2014,10,21 Years Old And Below,Male,26
2014,10,Youths (7 To 19 Years Old),Male,21
2014,10,Above 21 Years Old,Female,1
2014,10,21 Years Old And Below,Female,3
2014,10,Youths (7 To 19 Years Old),Female,3
2014,17,Above 21 Years Old,Male,308
2014,17,21 Years Old And Below,Male,337
2014,17,Youths (7 To 19 Years Old),Male,286
2014,17,Above 21 Years Old,Female,13
2014,17,21 Years Old And Below,Female,39
2014,17,Youths (7 To 19 Years Old),Female,36
2014,14,Above 21 Years Old,Male,390
2014,14,21 Years Old And Below,Male,56
2014,14,Youths (7 To 19 Years Old),Male,34
2014,14,Above 21 Years Old,Female,32
2014,14,21 Years Old And Below,Female,1
2014,14,Youths (7 To 19 Years Old),Female,1
2014,18,Above 21 Years Old,Male,1099
2014,18,21 Years Old And Below,Male,122
2014,18,Youths (7 To 19 Years Old),Male,81
2014,18,Above 21 Years Old,Female,394
2014,18,21 Years Old And Below,Female,86
2014,18,Youths (7 To 19 Years Old),Female,47
2015,15,Above 21 Years Old,Male,12
2015,15,21 Years Old And Below,Male,2
2015,15,Youths (7 To 19 Years Old),Male,0
2015,15,Above 21 Years Old,Female,4
2015,15,21 Years Old And Below,Female,0
2015,15,Youths (7 To 19 Years Old),Female,0
2015,16,Above 21 Years Old,Male,47
2015,16,21 Years Old And Below,Male,28
2015,16,Youths (7 To 19 Years Old),Male,23
2015,16,Above 21 Years Old,Female,0
2015,16,21 Years Old And Below,Female,0
2015,16,Youths (7 To 19 Years Old),Female,0
2015,8,Above 21 Years Old,Male,722
2015,8,21 Years Old And Below,Male,134
2015,8,Youths (7 To 19 Years Old),Male,114
2015,8,Above 21 Years Old,Female,5
2015,8,21 Years Old And Below,Female,0
2015,8,Youths (7 To 19 Years Old),Female,0
2015,7,Above 21 Years Old,Male,84
2015,7,21 Years Old And Below,Male,33
2015,7,Youths (7 To 19 Years Old),Male,24
2015,7,Above 21 Years Old,Female,4
2015,7,21 Years Old And Below,Female,5
2015,7,Youths (7 To 19 Years Old),Female,4
2015,11,Above 21 Years Old,Male,110
2015,11,21 Years Old And Below,Male,78
2015,11,Youths (7 To 19 Years Old),Male,63
2015,11,Above 21 Years Old,Female,3
2015,11,21 Years Old And Below,Female,3
2015,11,Youths (7 To 19 Years Old),Female,3
2015,9,Above 21 Years Old,Male,59
2015,9,21 Years Old And Below,Male,74
2015,9,Youths (7 To 19 Years Old),Male,53
2015,9,Above 21 Years Old,Female,5
2015,9,21 Years Old And Below,Female,3
2015,9,Youths (7 To 19 Years Old),Female,0
2015,10,Above 21 Years Old,Male,29
2015,10,21 Years Old And Below,Male,10
2015,10,Youths (7 To 19 Years Old),Male,8
2015,10,Above 21 Years Old,Female,1
2015,10,21 Years Old And Below,Female,1
2015,10,Youths (7 To 19 Years Old),Female,0
2015,17,Above 21 Years Old,Male,303
2015,17,21 Years Old And Below,Male,189
2015,17,Youths (7 To 19 Years Old),Male,144
2015,17,Above 21 Years Old,Female,7
2015,17,21 Years Old And Below,Female,31
2015,17,Youths (7 To 19 Years Old),Female,28
2015,14,Above 21 Years Old,Male,363
2015,14,21 Years Old And Below,Male,50
2015,14,Youths (7 To 19 Years Old),Male,31
2015,14,Above 21 Years Old,Female,43
2015,14,21 Years Old And Below,Female,4
2015,14,Youths (7 To 19 Years Old),Female,4
2015,18,Above 21 Years Old,Male,1263
2015,18,21 Years Old And Below,Male,167
2015,18,Youths (7 To 19 Years Old),Male,101
2015,18,Above 21 Years Old,Female,539
2015,18,21 Years Old And Below,Female,101
2015,18,Youths (7 To 19 Years Old),Female,65
2016,15,Above 21 Years Old,Male,36
2016,15,21 Years Old And Below,Male,1
2016,15,Youths (7 To 19 Years Old),Male,0
2016,15,Above 21 Years Old,Female,5
2016,15,21 Years Old And Below,Female,1
2016,15,Youths (7 To 19 Years Old),Female,0
2016,16,Above 21 Years Old,Male,47
2016,16,21 Years Old And Below,Male,44
2016,16,Youths (7 To 19 Years Old),Male,39
2016,16,Above 21 Years Old,Female,0
2016,16,21 Years Old And Below,Female,0
2016,16,Youths (7 To 19 Years Old),Female,0
2016,8,Above 21 Years Old,Male,776
2016,8,21 Years Old And Below,Male,88
2016,8,Youths (7 To 19 Years Old),Male,69
2016,8,Above 21 Years Old,Female,7
