CrimeLog_ID,Year,Crime_code,PoliceStation_ID,Total
405,2012,12,10.0,182
406,2012,13,10.0,34
407,2012,11,33.0,0
408,2012,7,33.0,0
409,2012,8,32.0,35
410,2012,9,32.0,14
411,2012,11,19.0,8
412,2012,10,32.0,12
413,2012,11,32.0,25
414,2012,7,32.0,11
415,2012,8,31.0,52
416,2012,9,31.0,20
417,2012,10,31.0,22
418,2012,11,31.0,29
419,2012,12,13.0,237
420,2012,13,28.0,8
421,2012,12,28.0,130
422,2012,13,24.0,5
423,2012,12,6.0,231
424,2012,13,6.0,33
425,2012,12,9.0,236
426,2012,10,33.0,0
427,2012,13,9.0,36
428,2012,12,1.0,226
429,2012,13,1.0,16
430,2012,12,5.0,447
431,2012,13,5.0,45
432,2012,12,7.0,125
433,2012,13,7.0,17
434,2012,12,2.0,0
435,2012,12,11.0,493
436,2012,13,2.0,0
437,2012,13,3.0,55
438,2012,12,4.0,311
439,2012,13,4.0,35
440,2012,12,12.0,258
441,2012,13,12.0,74
442,2012,12,22.0,343
443,2012,13,22.0,40
444,2012,12,21.0,4
445,2012,13,21.0,5
446,2012,12,23.0,107
447,2012,13,23.0,16
448,2012,12,24.0,37
449,2012,12,3.0,542
450,2012,7,7.0,5
451,2012,8,2.0,0
452,2012,9,2.0,0
453,2012,8,22.0,37
454,2012,9,22.0,14
455,2012,10,22.0,15
456,2012,11,22.0,10
457,2012,7,22.0,12
458,2012,8,21.0,125
459,2012,9,21.0,2
460,2012,10,21.0,10
461,2012,11,21.0,10
462,2012,7,21.0,15
463,2012,8,23.0,30
464,2012,9,23.0,17
465,2012,10,23.0,3
466,2012,11,23.0,9
467,2012,7,23.0,6
468,2012,8,24.0,28
469,2012,9,24.0,2
470,2012,10,24.0,5
471,2012,11,24.0,11
472,2012,7,24.0,2
473,2012,8,28.0,22
474,2012,9,28.0,4
475,2012,10,28.0,0
476,2012,11,28.0,16
477,2012,7,28.0,1
478,2012,8,13.0,32
479,2012,7,36.0,4
480,2012,9,4.0,21
481,2012,10,36.0,9
482,2012,7,12.0,5
483,2012,11,18.0,0
484,2012,11,12.0,12
485,2012,9,13.0,11
486,2012,7,15.0,9
487,2012,8,27.0,34
488,2012,9,27.0,16
489,2012,10,27.0,7
490,2012,11,27.0,19
491,2012,7,27.0,5
492,2012,8,14.0,43
493,2012,9,14.0,25
494,2012,10,14.0,6
495,2012,11,14.0,25
496,2012,8,26.0,60
497,2012,9,12.0,13
498,2012,9,26.0,31
499,2012,10,26.0,21
500,2012,11,26.0,17
501,2012,7,26.0,18
502,2012,8,25.0,85
503,2012,9,25.0,4
504,2012,10,25.0,3
505,2012,11,25.0,6
506,2012,7,25.0,8
507,2012,8,10.0,48
508,2012,9,10.0,12
509,2012,10,10.0,7
510,2012,11,10.0,9
511,2012,7,10.0,8
512,2012,7,13.0,4
513,2012,11,13.0,36
514,2012,10,13.0,10
515,2012,10,12.0,3
516,2012,11,36.0,7
517,2012,8,9.0,0
518,2012,10,9.0,0
519,2012,11,7.0,0
520,2012,7,7.0,0
521,2012,8,6.0,0
522,2012,11,18.0,14
523,2012,8,7.0,0
524,2012,8,20.0,58
525,2012,9,30.0,16
526,2012,11,30.0,6
527,2012,7,30.0,12
528,2012,10,19.0,11
529,2012,9,29.0,10
530,2012,10,29.0,7
531,2012,11,29.0,12
532,2012,7,29.0,0
533,2012,8,19.0,25
534,2012,9,19.0,17
535,2012,9,20.0,27
536,2012,8,36.0,31
537,2012,7,34.0,10
538,2012,11,34.0,9
539,2012,10,34.0,11
540,2012,9,34.0,25
541,2012,8,34.0,43
542,2012,7,19.0,6
543,2012,10,30.0,8
544,2012,8,29.0,27
545,2012,8,30.0,40
546,2012,7,31.0,7
547,2012,10,20.0,9
548,2012,10,7.0,0
549,2012,9,9.0,0
550,2012,9,7.0,0
551,2012,17,,191
552,2012,11,9.0,0
553,2012,7,9.0,0
554,2012,8,18.0,0
555,2012,9,18.0,0
556,2012,10,18.0,0
557,2012,7,18.0,0
558,2012,7,18.0,13
559,2012,8,20.0,0
560,2012,9,20.0,0
561,2012,10,20.0,0
562,2012,11,20.0,0
563,2012,7,20.0,0
564,2012,8,18.0,41
565,2012,9,18.0,37
566,2012,10,18.0,13
567,2012,7,6.0,0
568,2012,11,6.0,0
569,2012,10,6.0,0
570,2012,9,6.0,0
571,2012,6,,3567
572,2012,5,,88
573,2012,4,,17604
574,2012,3,,53
575,2012,1,,2271
576,2012,2,,99
577,2012,18,,3419
578,2012,14,,452
579,2012,16,,133
580,2012,15,,11
581,2012,9,36.0,13
582,2012,8,33.0,0
583,2012,10,15.0,4
584,2012,8,15.0,34
585,2012,9,17.0,50
586,2012,8,17.0,95
587,2012,7,35.0,4
588,2012,11,35.0,11
589,2012,10,2.0,0
590,2012,11,2.0,0
591,2012,7,2.0,0
592,2012,9,3.0,30
593,2012,10,3.0,7
594,2012,11,3.0,23
595,2012,7,3.0,11
596,2012,8,4.0,24
597,2012,9,9.0,17
598,2012,10,9.0,9
599,2012,11,16.0,9
600,2012,8,9.0,27
601,2012,7,6.0,4
602,2012,7,4.0,9
603,2012,8,35.0,27
604,2012,9,15.0,8
605,2012,9,35.0,5
606,2012,10,17.0,33
607,2012,11,17.0,53
608,2012,10,4.0,10
609,2012,8,16.0,33
610,2012,7,14.0,6
611,2012,8,12.0,28
612,2012,7,17.0,42
613,2012,11,15.0,12
614,2012,11,4.0,7
615,2012,11,6.0,17
616,2012,10,6.0,3
617,2012,9,6.0,7
618,2012,8,6.0,16
619,2012,7,11.0,15
620,2012,11,11.0,20
621,2012,10,35.0,5
622,2012,9,11.0,33
623,2012,10,16.0,2
624,2012,8,11.0,45
625,2012,7,8.0,9
626,2012,11,8.0,29
627,2012,10,8.0,8
628,2012,9,8.0,19
629,2012,8,8.0,34
630,2012,10,11.0,6
631,2012,9,16.0,12
632,2012,7,16.0,3
633,2013,13,31.0,21
634,2013,12,30.0,334
635,2013,13,30.0,35
636,2013,13,29.0,23
637,2013,12,34.0,495
638,2013,13,19.0,30
639,2013,12,31.0,309
640,2013,13,34.0,23
641,2013,12,36.0,265
642,2013,13,36.0,8
643,2013,12,35.0,52
644,2013,12,19.0,300
645,2013,13,32.0,327
646,2013,12,20.0,361
647,2013,13,33.0,0
648,2013,13,35.0,5
649,2013,12,7.0,0
650,2013,13,7.0,0
651,2013,12,6.0,0
652,2013,13,6.0,0
653,2013,12,9.0,0
654,2013,12,32.0,269
655,2013,13,9.0,0
656,2013,12,20.0,0
657,2013,13,20.0,0
658,2013,12,18.0,225
659,2013,13,18.0,19
660,2013,13,20.0,35
661,2013,12,33.0,0
662,2013,13,18.0,0
663,2013,12,18.0,0
664,2013,12,5.0,295
665,2013,13,17.0,30
666,2013,13,21.0,4
667,2013,12,23.0,80
668,2013,13,23.0,13
669,2013,12,24.0,33
670,2013,13,24.0,1
671,2013,12,28.0,111
672,2013,13,28.0,13
673,2013,12,13.0,186
674,2013,13,13.0,31
675,2013,12,15.0,196
676,2013,13,15.0,18
677,2013,12,27.0,163
678,2013,13,27.0,69
679,2013,12,14.0,165
680,2013,13,14.0,17
681,2013,12,26.0,116
682,2013,13,26.0,13
683,2013,12,25.0,12
684,2013,13,25.0,6
685,2013,12,10.0,151
686,2013,13,10.0,117
687,2013,12,21.0,5
688,2013,13,22.0,17
689,2013,12,22.0,248
690,2013,13,12.0,92
691,2013,12,16.0,254
692,2013,13,16.0,14
693,2013,12,8.0,154
694,2013,13,8.0,10
695,2013,12,11.0,375
696,2013,13,11.0,57
697,2013,12,6.0,111
698,2013,13,6.0,21
699,2013,12,9.0,239
700,2013,13,9.0,24
701,2013,12,17.0,174
702,2013,12,1.0,126
703,2013,13,5.0,26
704,2013,12,7.0,93
705,2013,13,7.0,9
706,2013,12,2.0,122
707,2013,13,2.0,6
708,2013,12,3.0,433
709,2013,13,3.0,73
710,2013,12,4.0,172
711,2013,13,4.0,23
712,2013,12,12.0,191
713,2013,13,1.0,10
714,2013,12,29.0,231
715,2013,8,21.0,102
716,2013,9,5.0,12
717,2013,10,18.0,5
718,2013,7,6.0,0
719,2013,8,9.0,0
720,2013,9,9.0,0
721,2013,10,9.0,0
722,2013,11,9.0,0
723,2013,7,9.0,0
724,2013,8,18.0,0
725,2013,9,18.0,0
726,2013,10,18.0,0
727,2013,11,18.0,0
728,2013,9,1.0,3
729,2013,8,20.0,0
730,2013,9,20.0,0
731,2013,10,20.0,0
732,2013,11,20.0,0
733,2013,7,20.0,0
734,2013,8,18.0,44
735,2013,11,6.0,0
736,2013,10,6.0,0
737,2013,9,6.0,0
738,2013,18,,3695
739,2013,9,34.0,19
740,2013,10,34.0,13
741,2013,16,,120
742,2013,9,3.0,17
743,2013,9,13.0,11
744,2013,7,26.0,26
745,2013,11,26.0,33
746,2013,10,26.0,17
747,2013,9,26.0,14
748,2013,8,26.0,56
749,2013,7,14.0,6
750,2013,11,14.0,17
751,2013,10,14.0,4
752,2013,8,14.0,38
753,2013,8,13.0,29
754,2013,7,27.0,8
755,2013,11,27.0,10
756,2013,10,27.0,3
757,2013,9,27.0,6
758,2013,8,27.0,33
759,2013,7,15.0,5
760,2013,11,15.0,9
761,2013,10,15.0,5
762,2013,9,15.0,9
763,2013,8,15.0,45
764,2013,7,13.0,4
765,2013,11,13.0,33
766,2013,10,13.0,7
767,2013,7,34.0,6
768,2013,1,,2377
769,2013,2,,164
770,2013,3,,36
771,2013,7,19.0,5
772,2013,8,34.0,50
773,2013,7,18.0,11
774,2013,7,31.0,5
775,2013,9,19.0,9
776,2013,10,31.0,6
777,2013,10,33.0,0
778,2013,8,20.0,44
779,2013,9,31.0,13
780,2013,9,20.0,15
781,2013,10,20.0,7
782,2013,7,20.0,5
783,2013,8,33.0,0
