Year,Quarter,Status,Rate
2018, 2Q,Citizen,4.1
2018, 3Q,Total,1.9
2018, 3Q,Resident,2.5
2018, 3Q,Citizen,2.6
2018, 4Q,Total,1.9
2018, 4Q,Resident,2.6
2018, 4Q,Citizen,2.7
2019, 1Q,Total,2.0
2019, 1Q,Resident,2.8
2019, 1Q,Citizen,2.9
2019, 2Q,Total,3.0
2019, 2Q,Resident,4.2
2019, 2Q,Citizen,4.4
2019, 3Q,Total,2.0
2019, 3Q,Resident,2.8
2019, 3Q,Citizen,2.9
2019, 4Q,Total,2.0
2019, 4Q,Resident,2.7
2019, 4Q,Citizen,2.8
2020, 1Q,Total,2.2
2020, 1Q,Resident,3.1
2020, 1Q,Citizen,3.2
2020, 2Q,Total,3.8
2020, 2Q,Resident,5.3
2020, 2Q,Citizen,5.6
