Year,Crime_code,Age_group,Gender,Total_count
2016,15,     Unknown Age ,Female,0
2016,16,     Above 21 Years Old * ,Male,0
2016,16,     21 Years Old And Below * ,Male,0
2016,16,     Youths (7 To 19 Years Old) ,Male,0
2016,16,     Unknown Age ,Male,0
2016,16,     Above 21 Years Old * ,Female,45
2016,16,     21 Years Old And Below * ,Female,104
2016,16,     Youths (7 To 19 Years Old) ,Female,95
2016,16,     Unknown Age ,Female,0
2016,8,     Above 21 Years Old * ,Male,38
2016,8,     21 Years Old And Below * ,Male,59
2016,8,     Youths (7 To 19 Years Old) ,Male,51
2016,8,     Unknown Age ,Male,1
2016,8,     Above 21 Years Old * ,Female,774
2016,8,     21 Years Old And Below * ,Female,466
2016,8,     Youths (7 To 19 Years Old) ,Female,349
2016,8,     Unknown Age ,Female,9
2016,7,     Above 21 Years Old * ,Male,50
2016,7,     21 Years Old And Below * ,Male,10
2016,7,     Youths (7 To 19 Years Old) ,Male,8
2016,7,     Unknown Age ,Male,0
2016,7,     Above 21 Years Old * ,Female,44
2016,7,     21 Years Old And Below * ,Female,3
2016,7,     Youths (7 To 19 Years Old) ,Female,0
2016,7,     Unknown Age ,Female,1
2016,10,     Above 21 Years Old * ,Male,12
2016,10,     21 Years Old And Below * ,Male,4
2016,10,     Youths (7 To 19 Years Old) ,Male,3
2016,10,     Unknown Age ,Male,0
2016,10,     Above 21 Years Old * ,Female,41
2016,10,     21 Years Old And Below * ,Female,6
2016,10,     Youths (7 To 19 Years Old) ,Female,4
2016,10,     Unknown Age ,Female,0
2016,17,     Above 21 Years Old * ,Male,118
2016,17,     21 Years Old And Below * ,Male,61
2016,17,     Youths (7 To 19 Years Old) ,Male,48
2016,17,     Unknown Age ,Male,0
2016,17,     Above 21 Years Old * ,Female,4
2016,17,     21 Years Old And Below * ,Female,11
2016,17,     Youths (7 To 19 Years Old) ,Female,11
2016,17,     Unknown Age ,Female,0
2016,14,     Above 21 Years Old * ,Male,343
2016,14,     21 Years Old And Below * ,Male,71
2016,14,     Youths (7 To 19 Years Old) ,Male,43
2016,14,     Unknown Age ,Male,0
2016,14,     Above 21 Years Old * ,Female,105
2016,14,     21 Years Old And Below * ,Female,12
2016,14,     Youths (7 To 19 Years Old) ,Female,9
2016,14,     Unknown Age ,Female,0
2016,18,     Above 21 Years Old * ,Male,3171
2016,18,     21 Years Old And Below * ,Male,549
2016,18,     Youths (7 To 19 Years Old) ,Male,303
2016,18,     Unknown Age ,Male,0
2016,18,     Above 21 Years Old * ,Female,2577
2016,18,     21 Years Old And Below * ,Female,343
2016,18,     Youths (7 To 19 Years Old) ,Female,208
2016,18,     Unknown Age ,Female,1
2017,15,     Above 21 Years Old * ,Male,6
2017,15,     21 Years Old And Below * ,Male,0
2017,15,     Youths (7 To 19 Years Old) ,Male,0
2017,15,     Unknown Age ,Male,0
2017,15,     Above 21 Years Old * ,Female,4
2017,15,     21 Years Old And Below * ,Female,1
2017,15,     Youths (7 To 19 Years Old) ,Female,0
2017,15,     Unknown Age ,Female,0
2017,16,     Above 21 Years Old * ,Male,0
2017,16,     21 Years Old And Below * ,Male,0
2017,16,     Youths (7 To 19 Years Old) ,Male,0
2017,16,     Unknown Age ,Male,0
2017,16,     Above 21 Years Old * ,Female,73
2017,16,     21 Years Old And Below * ,Female,116
2017,16,     Youths (7 To 19 Years Old) ,Female,97
2017,16,     Unknown Age ,Female,0
2017,8,     Above 21 Years Old * ,Male,26
2017,8,     21 Years Old And Below * ,Male,90
2017,8,     Youths (7 To 19 Years Old) ,Male,79
2017,8,     Unknown Age ,Male,0
2017,8,     Above 21 Years Old * ,Female,932
2017,8,     21 Years Old And Below * ,Female,618
2017,8,     Youths (7 To 19 Years Old) ,Female,475
2017,8,     Unknown Age ,Female,6
2017,7,     Above 21 Years Old * ,Male,58
2017,7,     21 Years Old And Below * ,Male,4
2017,7,     Youths (7 To 19 Years Old) ,Male,2
2017,7,     Unknown Age ,Male,0
2017,7,     Above 21 Years Old * ,Female,18
2017,7,     21 Years Old And Below * ,Female,1
2017,7,     Youths (7 To 19 Years Old) ,Female,0
2017,7,     Unknown Age ,Female,0
2017,10,     Above 21 Years Old * ,Male,13
2017,10,     21 Years Old And Below * ,Male,3
2017,10,     Youths (7 To 19 Years Old) ,Male,3
2017,10,     Unknown Age ,Male,0
2017,10,     Above 21 Years Old * ,Female,29
2017,10,     21 Years Old And Below * ,Female,6
2017,10,     Youths (7 To 19 Years Old) ,Female,5
2017,10,     Unknown Age ,Female,0
2017,17,     Above 21 Years Old * ,Male,95
2017,17,     21 Years Old And Below * ,Male,47
2017,17,     Youths (7 To 19 Years Old) ,Male,35
2017,17,     Unknown Age ,Male,0
2017,17,     Above 21 Years Old * ,Female,7
2017,17,     21 Years Old And Below * ,Female,7
2017,17,     Youths (7 To 19 Years Old) ,Female,4
2017,17,     Unknown Age ,Female,0
2017,14,     Above 21 Years Old * ,Male,311
2017,14,     21 Years Old And Below * ,Male,47
2017,14,     Youths (7 To 19 Years Old) ,Male,33
2017,14,     Unknown Age ,Male,0
2017,14,     Above 21 Years Old * ,Female,80
2017,14,     21 Years Old And Below * ,Female,18
2017,14,     Youths (7 To 19 Years Old) ,Female,13
2017,14,     Unknown Age ,Female,0
2017,18,     Above 21 Years Old * ,Male,3028
2017,18,     21 Years Old And Below * ,Male,491
2017,18,     Youths (7 To 19 Years Old) ,Male,284
2017,18,     Unknown Age ,Male,0
2017,18,     Above 21 Years Old * ,Female,2895
2017,18,     21 Years Old And Below * ,Female,304
2017,18,     Youths (7 To 19 Years Old) ,Female,174
2017,18,     Unknown Age ,Female,0
2018,15,     Above 21 Years Old * ,Male,2
2018,15,     21 Years Old And Below * ,Male,0
2018,15,     Youths (7 To 19 Years Old) ,Male,0
2018,15,     Unknown Age ,Male,0
2018,15,     Above 21 Years Old * ,Female,5
2018,15,     21 Years Old And Below * ,Female,2
2018,15,     Youths (7 To 19 Years Old) ,Female,0
2018,15,     Unknown Age ,Female,0
2018,16,     Above 21 Years Old * ,Male,0
2018,16,     21 Years Old And Below * ,Male,0
2018,16,     Youths (7 To 19 Years Old) ,Male,0
2018,16,     Unknown Age ,Male,0
2018,16,     Above 21 Years Old * ,Female,85
2018,16,     21 Years Old And Below * ,Female,129
2018,16,     Youths (7 To 19 Years Old) ,Female,114
2018,16,     Unknown Age ,Female,1
2018,8,     Above 21 Years Old * ,Male,54
2018,8,     21 Years Old And Below * ,Male,71
2018,8,     Youths (7 To 19 Years Old) ,Male,51
2018,8,     Unknown Age ,Male,0
2018,8,     Above 21 Years Old * ,Female,1037
2018,8,     21 Years Old And Below * ,Female,692
2018,8,     Youths (7 To 19 Years Old) ,Female,533
2018,8,     Unknown Age ,Female,4
2018,7,     Above 21 Years Old * ,Male,45
2018,7,     21 Years Old And Below * ,Male,8
2018,7,     Youths (7 To 19 Years Old) ,Male,5
2018,7,     Unknown Age ,Male,0
2018,7,     Above 21 Years Old * ,Female,25
2018,7,     21 Years Old And Below * ,Female,3
2018,7,     Youths (7 To 19 Years Old) ,Female,0
2018,7,     Unknown Age ,Female,0
2018,10,     Above 21 Years Old * ,Male,15
2018,10,     21 Years Old And Below * ,Male,1
2018,10,     Youths (7 To 19 Years Old) ,Male,1
2018,10,     Unknown Age ,Male,0
2018,10,     Above 21 Years Old * ,Female,30
2018,10,     21 Years Old And Below * ,Female,4
2018,10,     Youths (7 To 19 Years Old) ,Female,3
2018,10,     Unknown Age ,Female,0
2018,17,     Above 21 Years Old * ,Male,93
2018,17,     21 Years Old And Below * ,Male,50
2018,17,     Youths (7 To 19 Years Old) ,Male,44
2018,17,     Unknown Age ,Male,0
2018,17,     Above 21 Years Old * ,Female,12
2018,17,     21 Years Old And Below * ,Female,6
2018,17,     Youths (7 To 19 Years Old) ,Female,5
2018,17,     Unknown Age ,Female,0
2018,14,     Above 21 Years Old * ,Male,302
2018,14,     21 Years Old And Below * ,Male,39
2018,14,     Youths (7 To 19 Years Old) ,Male,28
2018,14,     Unknown Age ,Male,0
2018,14,     Above 21 Years Old * ,Female,96
2018,14,     21 Years Old And Below * ,Female,15
2018,14,     Youths (7 To 19 Years Old) ,Female,14
2018,14,     Unknown Age ,Female,0
2018,18,     Above 21 Years Old * ,Male,3574
2018,18,     21 Years Old And Below * ,Male,603
2018,18,     Youths (7 To 19 Years Old) ,Male,349
2018,18,     Unknown Age ,Male,2
2018,18,     Above 21 Years Old * ,Female,2963
2018,18,     21 Years Old And Below * ,Female,365
2018,18,     Youths (7 To 19 Years Old) ,Female,211
2018,18,     Unknown Age ,Female,0
2019,15,     Above 21 Years Old * ,Male,5
2019,15,     21 Years Old And Below * ,Male,0
2019,15,     Youths (7 To 19 Years Old) ,Male,0
2019,15,     Unknown Age ,Male,0
2019,15,     Above 21 Years Old * ,Female,4
2019,15,     21 Years Old And Below * ,Female,3
2019,15,     Youths (7 To 19 Years Old) ,Female,0
2019,15,     Unknown Age ,Female,0
2019,16,     Above 21 Years Old * ,Male,0
2019,16,     21 Years Old And Below * ,Male,0
2019,16,     Youths (7 To 19 Years Old) ,Male,0
2019,16,     Unknown Age ,Male,0
2019,16,     Above 21 Years Old * ,Female,107
2019,16,     21 Years Old And Below * ,Female,181
2019,16,     Youths (7 To 19 Years Old) ,Female,158
2019,16,     Unknown Age ,Female,0
2019,8,     Above 21 Years Old * ,Male,57
2019,8,     21 Years Old And Below * ,Male,112
2019,8,     Youths (7 To 19 Years Old) ,Male,95
2019,8,     Unknown Age ,Male,0
2019,8,     Above 21 Years Old * ,Female,960
2019,8,     21 Years Old And Below * ,Female,603
2019,8,     Youths (7 To 19 Years Old) ,Female,452
2019,8,     Unknown Age ,Female,3
2019,7,     Above 21 Years Old * ,Male,33
2019,7,     21 Years Old And Below * ,Male,13
2019,7,     Youths (7 To 19 Years Old) ,Male,9
2019,7,     Unknown Age ,Male,0
2019,7,     Above 21 Years Old * ,Female,14
2019,7,     21 Years Old And Below * ,Female,4
2019,7,     Youths (7 To 19 Years Old) ,Female,3
2019,7,     Unknown Age ,Female,0
2019,10,     Above 21 Years Old * ,Male,14
2019,10,     21 Years Old And Below * ,Male,0
2019,10,     Youths (7 To 19 Years Old) ,Male,0
2019,10,     Unknown Age ,Male,0
2019,10,     Above 21 Years Old * ,Female,22
2019,10,     21 Years Old And Below * ,Female,1
2019,10,     Youths (7 To 19 Years Old) ,Female,1
2019,10,     Unknown Age ,Female,0
2019,17,     Above 21 Years Old * ,Male,76
2019,17,     21 Years Old And Below * ,Male,54
2019,17,     Youths (7 To 19 Years Old) ,Male,40
2019,17,     Unknown Age ,Male,0
2019,17,     Above 21 Years Old * ,Female,2
2019,17,     21 Years Old And Below * ,Female,5
2019,17,     Youths (7 To 19 Years Old) ,Female,5
2019,17,     Unknown Age ,Female,0
2019,14,     Above 21 Years Old * ,Male,327
2019,14,     21 Years Old And Below * ,Male,50
2019,14,     Youths (7 To 19 Years Old) ,Male,32
2019,14,     Unknown Age ,Male,1
2019,14,     Above 21 Years Old * ,Female,62
2019,14,     21 Years Old And Below * ,Female,12
2019,14,     Youths (7 To 19 Years Old) ,Female,10
2019,14,     Unknown Age ,Female,0
2019,18,     Above 21 Years Old * ,Male,5499
2019,18,     21 Years Old And Below * ,Male,878
2019,18,     Youths (7 To 19 Years Old) ,Male,500
2019,18,     Unknown Age ,Male,2
2019,18,     Above 21 Years Old * ,Female,3990
2019,18,     21 Years Old And Below * ,Female,508
2019,18,     Youths (7 To 19 Years Old) ,Female,311
2019,18,     Unknown Age ,Female,4
